Fecha,Clave_del_nodo,pml_mean
1/11/2017,01AAN-85,1273.4704166666672
1/11/2017,01AAP-85,1227.95375
1/11/2017,01ACC-85,1211.3500000000004
1/11/2017,01ACM-85,1213.5837499999998
1/11/2017,01ACN-85,1218.3149999999998
1/11/2017,01ACO-230,1195.3249999999996
1/11/2017,01ACS-230,1189.9754166666664
1/11/2017,01AGU-230,1215.3570833333335
1/11/2017,01AGV-85,1234.6108333333334
1/11/2017,01AIN-115,1226.3541666666667
1/11/2017,01ALR-85,1214.8274999999999
1/11/2017,01AMO-85,1231.2041666666667
1/11/2017,01ANL-85,1238.6241666666665
1/11/2017,01ANM-115,1206.5645833333333
1/11/2017,01ANS-85,1216.1325
1/11/2017,01ANU-115,1240.3379166666664
1/11/2017,01ANU-69,1240.3379166666664
1/11/2017,01ARA-85,1213.0433333333333
1/11/2017,01ARX-230,1191.274583333333
1/11/2017,01ATE-230,1223.3683333333333
1/11/2017,01ATE-85,1222.4775000000002
1/11/2017,01ATG-69,1183.9974999999997
1/11/2017,01ATI-230,1212.4354166666667
1/11/2017,01ATK-230,1210.6783333333333
1/11/2017,01ATM-115,1230.6512500000001
1/11/2017,01ATS-115,1171.5291666666665
1/11/2017,01ATU-115,1223.2791666666667
1/11/2017,01AUM-85,1212.5095833333332
1/11/2017,01AUO-115,1209.2466666666667
1/11/2017,01AUR-230,1206.1787499999998
1/11/2017,01AVA-115,1209.8112500000002
1/11/2017,01AVT-85,1223.7599999999998
1/11/2017,01AYO-230,1206.7141666666664
1/11/2017,01AZC-230,1212.04125
1/11/2017,01BAR-85,1218.2195833333333
1/11/2017,01BBR-115,1210.9237500000004
1/11/2017,01BBV-230,1212.4862500000002
1/11/2017,01BDK-85,1214.9725
1/11/2017,01CAH-85,1218.17125
1/11/2017,01CAR-85,1214.14625
1/11/2017,01CAY-115,1174.9908333333335
1/11/2017,01CCM-115,1223.0212499999996
1/11/2017,01CCZ-230,1189.5845833333335
1/11/2017,01CDS-85,1227.8179166666669
1/11/2017,01CEA-85,1196.5104166666665
1/11/2017,01CEI-230,1210.0679166666669
1/11/2017,01CFD-230,1209.5350000000003
1/11/2017,01CFI-230,1209.3687499999999
1/11/2017,01CFZ-85,1279.7441666666668
1/11/2017,01CHA-85,1223.8941666666667
1/11/2017,01CHE-85,1218.2558333333334
1/11/2017,01CHN-230,1204.1891666666666
1/11/2017,01CJM-230,1214.17625
1/11/2017,01CMC-230,1212.14125
1/11/2017,01CMO-115,1241.0874999999999
1/11/2017,01CNA-69,1188.3666666666666
1/11/2017,01COA-230,1211.8166666666666
1/11/2017,01COM-115,1226.7804166666667
1/11/2017,01COY-230,1216.2433333333336
1/11/2017,01CPG-230,1201.0466666666669
1/11/2017,01CPM-230,1210.3612500000002
1/11/2017,01CRG-230,1209.3416666666667
1/11/2017,01CRG-85,1206.9445833333334
1/11/2017,01CRM-85,1190.5574999999997
1/11/2017,01CRS-230,1214.1220833333332
1/11/2017,01CRU-230,1208.533333333333
1/11/2017,01CSN-115,1232.1583333333333
1/11/2017,01CSR-115,1173.1641666666667
1/11/2017,01CTD-230,1215.3483333333334
1/11/2017,01CTG-230,1208.6179166666668
1/11/2017,01CTT-85,1216.783333333333
1/11/2017,01CVD-85,1220.5874999999999
1/11/2017,01CYO-85,1224.627083333333
1/11/2017,01DCA-85,1232.1670833333333
1/11/2017,01DCO-85,1216.2012499999998
1/11/2017,01DOG-115,1205.12125
1/11/2017,01ECA-230,1207.7133333333331
1/11/2017,01ECB-115,1206.118333333333
1/11/2017,01ECR-230,1225.2395833333333
1/11/2017,01EDB-115,1209.6337500000002
1/11/2017,01ELG-115,1214.0712499999997
1/11/2017,01ENB-115,1209.2349999999997
1/11/2017,01ESB-115,1207.2516666666668
1/11/2017,01EST-230,1212.6041666666665
1/11/2017,01ETB-115,1206.9566666666667
1/11/2017,01EUB-115,1210.9266666666667
1/11/2017,01EVD-230,1204.8654166666665
1/11/2017,01FMC-85,1213.4566666666667
1/11/2017,01FPG-115,1216.9175
1/11/2017,01FRR-115,1234.62625
1/11/2017,01GMC-85,1223.4287499999998
1/11/2017,01GMY-115,1174.845
1/11/2017,01GUA-85,1215.0116666666668
1/11/2017,01HTC-85,1215.8979166666666
1/11/2017,01HTM-115,1219.111666666667
1/11/2017,01HTT-85,1221.6329166666667
1/11/2017,01INM-85,1225.3641666666667
1/11/2017,01INN-85,1214.9462499999997
1/11/2017,01INS-85,1213.0533333333335
1/11/2017,01INU-115,1215.3725
1/11/2017,01IRO-230,1188.2658333333336
1/11/2017,01ISC-85,1205.8679166666666
1/11/2017,01ISO-115,1178.37625
1/11/2017,01ITD-115,1218.8320833333332
1/11/2017,01IUN-115,1213.7462500000004
1/11/2017,01IXL-230,1205.9120833333334
1/11/2017,01IXS-115,1217.7858333333336
1/11/2017,01IXT-115,1210.9237500000004
1/11/2017,01IZT-230,1210.3320833333332
1/11/2017,01JAM-85,1212.7024999999996
1/11/2017,01JAS-85,1187.01625
1/11/2017,01JCP-85,1231.8100000000002
1/11/2017,01JDV-85,1224.6641666666667
1/11/2017,01JID-115,1205.1416666666667
1/11/2017,01JIL-115,1204.6604166666664
1/11/2017,01JJA-85,1205.67
1/11/2017,01JLC-230,1211.3425000000004
1/11/2017,01JRB-230,1191.260833333333
1/11/2017,01JUA-85,1278.2716666666668
1/11/2017,01KCR-230,1212.0754166666666
1/11/2017,01KDM-85,1223.2516666666666
1/11/2017,01KMC-85,1189.5533333333335
1/11/2017,01LAC-115,1215.8249999999998
1/11/2017,01LAP-230,1204.81375
1/11/2017,01LAQ-85,1216.4316666666668
1/11/2017,01LAZ-85,1212.7024999999996
1/11/2017,01LCD-115,1174.6337500000002
1/11/2017,01LCP-230,1170.0354166666668
1/11/2017,01LCP-400,1168.6683333333333
1/11/2017,01LCT-85,1206.5504166666667
1/11/2017,01LEC-85,1215.4645833333334
1/11/2017,01LER-85,1079.2333333333333
1/11/2017,01LES-115,1210.7241666666669
1/11/2017,01LFG-230,1191.1079166666666
1/11/2017,01LOM-85,1220.37625
1/11/2017,01LQX-85,1220.71
1/11/2017,01LVE-230,1212.4854166666667
1/11/2017,01MAD-230,1211.7320833333335
1/11/2017,01MAG-85,1212.42875
1/11/2017,01MER-230,1212.4850000000001
